best_rank,brand,name,concentration,gender,listings,flanker_of,note,slug
290,Mont Blanc,Mont Blanc Signature,edp,f,2,,,mont-blanc-signature-90ml
291,Reef Perfumes,Reef Perfumes Reef 11,edp,f,1,,,reef-perfumes-reef-11-eau-de-parfum-for-women
293,Arabian Oud,Arabian Oud Only White,edp,u,1,,,arabian-oud-only-white-eau-de-parfum-for-men-women
296,Rabanne,Paco Rabanne 1 Million Parfum,parfum,m,2,,,1-million-parfum-for-men
307,Penhaligon's,Penhaligon's Portrait Changing Constance,edp,f,1,,,penhaligon-s-portrait-changing-constance-eau-de-parfum-for-women
311,Dolce&Gabbana,Dolce & Gabbana L'imperatrice 3 Pour Femme,edt,f,2,Dolce&Gabbana Dolce&Gabbana Pour Femme,,dolce-gabbana-l-imperatrice-3-pour-femme-eau-de-toilette-for-women
315,Bvlgari,Bvlgari Le Gemme Tygar,edp,m,1,Bvlgari Tygar,,bvlgari-le-gemme-tygar-edp-eau-de-perfum-for-men
316,Ajmal,Ajmal Raindrops,edp,f,1,,,ajmal-raindrops-perfume-eau-de-perfume-for-women
318,Dolce&Gabbana,Dolce & Gabbana The Only One,edp,f,2,,,dolce-gabbana-the-only-one-100-ml
322,Tous,Tous Touch,edt,f,1,,,tous-touch-perfume-eau-de-toilette-for-women
324,Parfums de Marly,Parfums de Marly Delina Exclusif Royal,edp,f,3,Parfums de Marly Delina,,marly-delina-exclusif-royal-essence-perfume-perfum-for-women
327,Elie Saab,Elie Saab Girl Of Now Shine,edp,f,2,,,elie-saab-girl-of-now-shine-perfume-eau-de-perfum-for-women
329,Houbigant,Houbigant Quelques Fleurs L Original,edp,f,1,,,houbigant-quelques-fleurs-l-original-100-ml
332,Caron,Caron Pour Un Homme De Caron,edt,m,2,,,caron-pour-un-homme-de-caron-perfume-eau-de-toilette-for-men
334,Dolce&Gabbana,Dolce & Gabbana Light Blue Eau Intense EDP,edp,m,1,Dolce&Gabbana Light Blue Pour Homme,,dolce-gabbana-light-blue-eau-intense-eau-de-parfum-for-men
339,Bvlgari,Bvlgari Petits Et Mamans,edp,f,1,,,bvlgari-petits-et-mamans-perfume-eau-de-toilette-for-children
340,Bentley,Bentley Momentum Intense,edp,m,1,,,bentley-momentum-intense-perfume-eau-de-perfum-for-men
341,Bentley,Bentley Azure For Men,edt,m,1,,,bentley-azure-for-men-perfume-eau-de-toilette-for-men
343,Chloe,Chloe Nomade Women,edp,f,2,Chloé Chloé Eau de Parfum,,chloe-nomade
346,Carolina Herrera,Carolina Herrera 212 VIP Black,edp,m,2,,,212-100
348,Elie Saab,Elie Saab Le Parfum In White,edp,f,2,Elie Saab Le Parfum,,elie-saab-le-parfum-in-white-perfume-eau-de-perfum-for-women
350,Gucci,Gucci Guilty Absolute Pour Femme,edp,f,2,Gucci Guilty,,gucci-guilty-absolute-pour-femme-eau-de-parfum-for-women
353,Dunhill,Dunhill Icon Racing,edp,m,2,,,dunhill-icon-racing-perfume-eau-de-perfum-for-men
357,Giorgio Armani,Giorgio Armani Emporio Armani Because It's You,edp,f,2,,,giorgio-armani-emporio-armani-because-it-s-you-perfume-eau-de-parfum-for-women
358,Armand Basi,Armand Basi In Red EDT,edt,f,2,,,armand-basi-in-red-eau-de-toilette-for-women-100ml
360,Chanel,Chanel Gabrielle,edp,f,2,,,chanel-gabrielle-perfume-for-women-eau-de-perfum
361,Lalique,Lalique Lalique Le Parfum,edp,f,2,,,lalique-lalique-le-parfum-100ml
363,Lalique,Lalique Encre Noir,edt,m,2,,,lalique-encre-noir-100ml
365,Burberry,Burberry Mr. Burberry,edp,m,2,,,burberry-mr-burberry-100ml
370,Mancera,Mancera Roses Greedy,edp,f,1,,,mancera-roses-greedy-perfume-for-women-eau-de-parfum-120ml
371,Elizabeth Arden,Elizabeth Arden 5Th Avenue,edp,f,2,,,elizabeth-arden-5th-avenue-perfume-for-women-eau-de-parfum-125ml
375,Roberto Cavalli,Roberto Cavalli Uomo Roberto Cavalli,edt,m,4,,,roberto-cavalli-uomo-roberto-cavalli-for-men-eau-de-toilette-100-ml
382,Chloe,Chloe Love Story EDP,edp,f,1,Chloé Chloé Eau de Parfum,,chloe-love-story-perfume-for-women-eau-de-parfum
387,Chopard,Chopard Rose Malaki,edp,u,1,,,chopard-rose-malaki
389,Mancera,Mancera Gold Intensive Aoud,edp,u,1,,,mancera-gold-intensive-aoud-120-ml
394,Bentley,Bentley For Men Intense,edp,m,1,,,bentley-for-men-intense
401,Juicy Couture,Juicy Couture Viva La Juicy,edp,f,2,,,juicy-couture-viva-la-juicy-100-ml
402,Roberto Cavalli,Roberto Cavalli Just Cavalli Women EDT,edt,f,1,,,roberto-cavalli-just-cavalli-eau-de-toilette-for-women
403,Carolina Herrera,Carolina Herrera 212 Vip Men,edt,m,2,,,carolina-herrera-212-vip-men-100-ml
405,Escada,Escada Magnetism,edp,f,2,,,escada-magnetism-75-ml
406,Tom Ford,Tom Ford Velvet Orchid,edp,f,2,,,tom-ford-velvet-orchid
407,Carolina Herrera,Carolina Herrera CH Men,edt,m,1,,,carolina-herrera-ch-for-men-eau-de-toilette-for-men
408,Chanel,Chanel Allure EDP,edp,f,1,,,chanel-allure
409,Versace,Versace Pour Homme,edt,m,5,,,versace-pour-homme-eau-de-toilette-for-men
415,Lancome,Lancôme Trésor Midnight Rose,edp,f,2,,,lancome-tresor-midnight-rose
417,Lacoste,Lacoste Pour Femme,edp,f,1,,,lacoste-pour-femme
418,Gucci,Gucci Guilty Pour Homme EDT,edt,m,2,,,gucci-guilty-pour-homme-eau-de-toilette-for-men
419,Dolce&Gabbana,Dolce & Gabbana The One for Women,edp,f,2,,,dolce-gabbana-the-one-eau-de-parfum-for-women
420,Chanel,Chanel Platinum Egoiste,edt,m,1,,,chanel-platinum-egoiste-eau-de-toilette-for-men
421,Chanel,Chanel Coco Noir,edp,f,1,,,chanel-coco-noir-eau-de-perfum-for-women
422,Calvin Klein,Calvin Klein Eternity Men,edt,m,1,,,calvin-klein-eternity-for-men
423,Burberry,Burberry London for Men,edt,m,2,,,burberry-london-for-men
426,Roberto Cavalli,Roberto Cavalli Nero Assoluto,edp,f,2,Roberto Cavalli Roberto Cavalli Eau de Parfum,,roberto-cavalli-nero-assoluto-75-ml
440,Burberry,Burberry Goddess EDP,edp,f,2,,,burberry-goddess-edp
443,Dunhill,Dunhill Icon Elite,edp,m,1,,,dunhill-icon-elite-perfume-for-men-eau-de-perfum
445,Van Cleef & Arpels,Van Cleef & Arpels Bois Dore,edp,u,1,,,van-cleef-arpels-bois-dore-perfume-eau-de-perfum-for-men-and-women
446,Narciso Rodriguez,Narciso Rodriguez All Of Me EDP,edp,f,2,Narciso Rodriguez For Her Eau de Parfum,,narciso-rodriguez-all-of-me-edp
453,Roberto Cavalli,Roberto Cavalli Florence,edp,f,3,Roberto Cavalli Roberto Cavalli Eau de Parfum,,roberto-cavalli-florence-perfume-eau-de-parfum-for-women
455,Guerlain,Guerlain Cuir Intense EDP,edp,u,2,,,guerlain-cuir-intense-eau-de-parfum-for-men-women
457,Chopard,Chopard Black Incense Malaki,edp,u,1,,,chopard-black-incense-malaki-eau-de-parfum-for-men-and-women
458,Candy Addict,Candy Addict Marshmallow Mash EDP,edp,f,1,,,candy-addict-marshmallow-mash-eau-de-parfum-for-women
462,Jean Paul Gaultier,Jean Paul Gaultier La Belle EDP,edp,f,1,,,jean-paul-gaultier-la-belle-edp
463,Chopard,Chopard Leather Malaki EDP,edp,m,1,,,chopard-leather-malaki-edp
464,Jean Paul Gaultier,Jean Paul Gaultier Le Beau Narcisse for Men EDP,edp,m,1,,,jean-paul-gaultier-le-beau-narcisse-eau-de-parfum-for-men
465,Candy Addict,Candy Addict Berry B EDP,edp,f,1,,,candy-addict-berry-b-eau-de-parfum-for-women
466,Giorgio Armani,Giorgio Armani Armani Prive Vert Malachite,edp,u,3,,,giorgio-armani-armani-prive-vert-malachite-perfume-eau-de-perfum-for-men-and-women
467,Estée Lauder,Estée Lauder Pleasures,edp,f,1,,,estee-lauder-pleasures
468,Giorgio Armani,Giorgio Armani Stronger With You Parfum,parfum,m,1,,,giorgio-armani-stronger-with-you-parfum
469,Mont Blanc,Mont Blanc Lady Emblem,edp,f,2,,,mont-blanc-lady-emblem-perfume-for-women-eau-de-parfum
470,Guerlain,Guerlain Absolus Allegoria Santal Royal EDP,edp,u,1,Guerlain Santal Royal,,guerlain-absolus-allegoria-santal-royal-edp
471,Estée Lauder,Estée Lauder White Linen,edp,f,1,,,givenchy-dahlia-divin-eau-initiale-perfume-eau-de-toilette-for-women
472,Jaguar,Jaguar Classic Black,edt,m,1,,,jaguar-classic-black
474,Givenchy,Givenchy Pour Homme Blue Label,edt,m,2,,,givenchy-pour-homme-blue-label-perfume-for-men-eau-de-toilette
476,Tommy Hilfiger,Tommy Hilfiger Tommy By Tommy Hilfiger,,m,1,,,tommy-by-tommy-hilfiger-perfume-for-men-eau-de-toilette
479,Rosendo Mateu,Rosendo Mateu No. 5 EDP,edp,u,2,,,rosendo-mateu-no-5-eau-de-parfum-for-men-women
481,Dolce&Gabbana,Dolce & Gabbana Velvet Desert Oud,edp,u,2,,,dolce-gabbana-velvet-desert-oud-perfume-eau-de-parfum-for-men-and-women
482,Davidoff,Davidoff Cool Water Intense EDP,edp,m,1,,,davidoff-cool-water-intense-eau-de-parfum-for-men
483,Guerlain,Guerlain La Petite Robe Noire,edp,f,2,,,guerlain-la-petite-robe-noire
486,Giorgio Armani,Giorgio Armani Acqua di Giò Profondo,edp,m,2,,,giorgio-armani-acqua-di-gio-profondo-eau-de-parfum-for-men
488,Gucci,Gucci Intense Oud,edp,u,1,,,gucci-intense-oud-eau-de-parfum-for-men-and-women
489,Gucci,Gucci Rush,edt,f,2,,,gucci-rush-eau-de-toilette-for-women
490,Mont Blanc,Mont Blanc Legend Blue EDP,edp,m,1,,,mont-blanc-legend-blue-eau-de-parfum-for-men
492,Bugatti,Bugatti Dynamic Move Amber EDT,edt,m,1,,,bugatti-dynamic-move-amber-edt
493,Coach,Coach For Men,edt,m,2,,,coach-coach-for-men-perfume-eau-de-toilette-for-men
494,Guerlain,Guerlain La Petite Robe Noire Ma Robe Cocktail,edt,f,2,,,guerlain-la-petite-robe-noire-ma-robe-cocktail-perfume-eau-de-toilette-for-women
496,Gucci,Gucci Flora Gorgeous Orchid EDP,edp,f,1,,,gucci-flora-gorgeous-orchid-edp
497,Guerlain,Guerlain Patchouli Ardent EDP,edp,u,1,,,guerlain-patchouli-ardent-edp
498,Dolce&Gabbana,Dolce & Gabbana The Only One Intense,edp,f,3,,,dolce-gabbana-the-only-one-eau-de-parfum-for-women
499,Guerlain,Guerlain L'Instant De Guerlain EDP,edp,m,1,,,guerlain-linstant-de-guerlain-edp
500,Guerlain,Guerlain Idylle EDP,edp,f,1,,,guerlain-idylle-eau-de-parfum-for-women
